#,Symbol,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,SYM,Symbotic Inc,Industrials,Specialty Industrial Machinery,USA,27.37B,-,46.42,10.00%,2357212
2,SMMT,Summit Therapeutics Inc,Healthcare,Biotechnology,USA,16.99B,-,22.88,1.13%,8059256
3,RUN,Sunrun Inc,Technology,Solar,USA,2.44B,-,10.68,18.80%,17462807
4,TRIP,TripAdvisor Inc,Consumer Cyclical,Travel Services,USA,2.30B,48.29,17.60,17.44%,8536557
5,CIFR,Cipher Mining Inc,Financial,Capital Markets,USA,2.07B,-,6.16,8.54%,27232231
6,PL,Planet Labs PBC,Industrials,Aerospace & Defense,USA,2.05B,-,6.76,10.10%,8789623
7,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1.69B,-,30.13,12.89%,3216603
8,PLUG,Plug Power Inc,Industrials,Electrical Equipment & Parts,USA,1.68B,-,1.47,4.80%,56213263
9,FLNC,Fluence Energy Inc,Utilities,Utilities - Renewable,USA,1.51B,-,8.26,10.43%,2991352
10,ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,1.21B,-,7.55,-4.85%,139233
11,NFE,New Fortress Energy Inc,Energy,Oil & Gas Midstream,USA,1.11B,-,4.04,4.20%,4792065
12,SBET,SharpLink Gaming Inc,Consumer Cyclical,Gambling,USA,786.81M,-,12.17,1.63%,23888375
13,BMNR,BitMine Immersion Technologies Inc,Financial,Capital Markets,USA,717.42M,-,116.46,99.08%,18293725
14,NPWR,NET Power Inc,Industrials,Specialty Industrial Machinery,USA,649.53M,-,2.96,16.73%,1954384
15,NUTX,Nutex Health Inc,Healthcare,Medical Care Facilities,USA,636.23M,9.62,114.53,-6.35%,154739
16,AMLX,Amylyx Pharmaceuticals Inc,Healthcare,Biotechnology,USA,549.56M,-,6.16,-6.16%,592626
17,MAZE,Maze Therapeutics Inc,Healthcare,Biotechnology,USA,498.63M,-,11.39,-4.01%,37280
18,PACB,Pacific Biosciences of California Inc,Healthcare,Medical Devices,USA,472.64M,-,1.58,5.70%,7989790
19,PRME,Prime Medicine Inc,Healthcare,Biotechnology,USA,436.20M,-,3.32,8.22%,2043173
20,ZBIO,Zenas Biopharma Inc,Healthcare,Biotechnology,USA,435.69M,-,10.41,1.90%,22865
